AS2,n1,q1,Q,E,how long has the unexpected visitor been away
AS2,n1,q1,A,E,i'm kinda thinking sp years
AS2,n1,q2,Q,M,how rich is sp the family {sl} <uh sp sorry could you repeat that> sp sure how rich is sp the family
AS2,n1,q2,A,M,hm {sl} hm they don't really sp look rich
AS2,n1,q3,Q,M,what season is it
AS2,n1,q3,A,M,hm {sl} uh think maybe winter
AS2,n1,q4,Q,E,and how do the children feel about the visitor
AS2,n1,q4,A,E,hm {sl} they seem kind of sp like shocked maybe like sp maybe nervous
AS3,n1,q1,Q,E,how long has the unexpected visitor been away
AS3,n1,q1,A,E,sp i'm probably going to assume sp on my sp uh basis of assumption sp probably like a good sp two to five days
AS3,n1,q2,Q,M,[how] rich is sp the family 
AS3,n1,q2,A,M,sp they look middle class i mean i'd probably sp probably like a sp standard english sp uh family i mean sp i mean we're not talking about the sp like queen elizabeth sp rich but you know just middle class sp probably like you know sp {br} sp late nineteenth century early twentieth century
AS3,n1,q3,Q,M,what season sp is sp it
AS3,n1,q3,A,M,it looks as if it's uh late sp uh sp late summer early autumn sp like sometime in september
AS3,n1,q4,Q,E,and how do the children feel about the visitor
AS3,n1,q4,A,E,sp um they're a little bit befuddled because they think that this visitor is sp a either a complete stranger or sp b {br} sp just sp negligent sp to their existence so sp at which sp at which point one could assume that the man walking in is {br} sp perhaps their father or their uncle or somehow related
TD1,n1,q1,Q,E,how long has the unexpected visitor been away
TD1,n1,q1,A,E,um {sl} probably a long time {sl} uh sp based on how everyone's responding sp they didn't expect to see that person again yeah i guess that's it
TD1,n1,q2,Q,M,how rich is sp the family
TD1,n1,q2,A,M,sp um sp i'm guessing that this is sp an older picture so i sp assume they must be {sl} pretty wealthy sp based on the fact that sp they all seem to have nice clothes sp um sp the sp person that seems to have the worst clothes is the person that's coming in who sp i'm assuming is the sp unexpected guest or sp visitor sp and sp even he seems to be sp i'm not sure if he's wearing fur or some other {sl} less sp nice clothes but he seems to be dressed pretty nicely too sp so
TD1,n1,q3,Q,M,what sp season is it
TD1,n1,q3,A,M,i'd guess either spring or summer based on {sl} everyone's sp actually sp probably either spring or fall based on everyone's clothing it's too {sl} looks like it's too warm to be sp summer clothing and too cold to be winter clothing {sl} so some sp in between session
TD1,n1,q4,Q,E,how do the children feel about the visitor
